City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Buffalo-Cheektowaga-Niagara Falls (Ny),2015,,,20.9
Buffalo-Cheektowaga-Niagara Falls (Ny),2019,,,17.8
Burlington-South Burlington (Vt),2010,,7.4,16.1
Burlington-South Burlington (Vt),2012,4.6,6.8,
Burlington-South Burlington (Vt),2013,4.8,6.6,
Burlington-South Burlington (Vt),2014,3.8,6.8,12.9
Burlington-South Burlington (Vt),2015,3.5,7.8,
Burlington-South Burlington (Vt),2016,,6.4,
Burlington-South Burlington (Vt),2017,,5.9,
Burlington-South Burlington (Vt),2018,,5.6,
Burlington-South Burlington (Vt),2019,4.5,4.9,
Butte-Silver Bow (Mt),2010,,29.5,
Butte-Silver Bow (Mt),2012,,27.8,
Butte-Silver Bow (Mt),2014,,20.3,
Butte-Silver Bow (Mt),2015,10.5,19.3,
Butte-Silver Bow (Mt),2017,,18.6,
Butte-Silver Bow (Mt),2019,,20.1,
Cadillac (Mi),2011,,,1.9
Cadillac (Mi),2012,,,2.6
Cadillac (Mi),2013,,,2.6
Cadillac (Mi),2014,,,2.3
Cadillac (Mi),2017,4.8,,2.7
Cadillac (Mi),2018,,,2.6
Cadillac (Mi),2019,,,2
Canon City (Co),2012,,19.6,
Canon City (Co),2013,,20.6,
Canon City (Co),2017,,15.4,
Canton-Massillon (Oh),2010,14.4,,
Canton-Massillon (Oh),2011,12.8,,
Cape Coral-Fort Myers (Fl),2011,,15.3,
Cape Coral-Fort Myers (Fl),2014,,14.1,
Cape Coral-Fort Myers (Fl),2016,5.7,14,
Cape Coral-Fort Myers (Fl),2017,,15.6,
Cape Coral-Fort Myers (Fl),2018,,16.7,
Carlsbad-Artesia (Nm),2011,,,4.9
Carlsbad-Artesia (Nm),2013,,,4.5
Carlsbad-Artesia (Nm),2014,,,4.9
Carlsbad-Artesia (Nm),2015,,,4.5
Carlsbad-Artesia (Nm),2018,,,9.7
Carlsbad-Artesia (Nm),2019,,,9.5
Cedar Rapids (Ia),2012,,22.8,
Cedar Rapids (Ia),2013,,21.7,
Cedar Rapids (Ia),2019,,17.5,
Central Mckenzie,2010,,8.7,2.2
Central Mckenzie,2011,,7.8,2.1
Central Mckenzie,2012,,9.5,2.3
Central Mckenzie,2013,3.6,7.1,2.2
Central Mckenzie,2014,2.9,5.9,
Central Mckenzie,2015,,5.9,3.1
Central Mckenzie,2016,1.8,3.8,2.4
Central Mckenzie,2018,5.2,10.3,3.1
Central Mckenzie,2019,,7.4,3.2
Charleston-North Charleston (Sc),2010,,,8.55
